vid,code,name,uri,code_2digit
language,chg,Chagatai,http://id.loc.gov/vocabulary/languages/chg,
language,chi,Chinese,http://id.loc.gov/vocabulary/languages/chi,
language,chk,Chuukese,http://id.loc.gov/vocabulary/languages/chk,
language,chm,Mari,http://id.loc.gov/vocabulary/languages/chm,
language,chn,Chinook jargon,http://id.loc.gov/vocabulary/languages/chn,
language,cho,Choctaw,http://id.loc.gov/vocabulary/languages/cho,
language,chp,Chipewyan,http://id.loc.gov/vocabulary/languages/chp,
language,chr,Cherokee,http://id.loc.gov/vocabulary/languages/chr,
language,chu,Church Slavic,http://id.loc.gov/vocabulary/languages/chu,cu
language,chv,Chuvash,http://id.loc.gov/vocabulary/languages/chv,cv
language,chy,Cheyenne,http://id.loc.gov/vocabulary/languages/chy,
language,cmc,Chamic languages,http://id.loc.gov/vocabulary/languages/cmc,
language,cnr,Montenegrin,http://id.loc.gov/vocabulary/languages/cnr,
language,cop,Coptic,http://id.loc.gov/vocabulary/languages/cop,
language,cor,Cornish,http://id.loc.gov/vocabulary/languages/cor,kw
language,cos,Corsican,http://id.loc.gov/vocabulary/languages/cos,co
language,cpe,"Creoles and Pidgins, English-based (Other)",http://id.loc.gov/vocabulary/languages/cpe,
language,cpf,"Creoles and Pidgins, French-based (Other)",http://id.loc.gov/vocabulary/languages/cpf,
language,cpp,"Creoles and Pidgins, Portuguese-based (Other)",http://id.loc.gov/vocabulary/languages/cpp,
language,cre,Cree,http://id.loc.gov/vocabulary/languages/cre,cr
language,crh,Crimean Tatar,http://id.loc.gov/vocabulary/languages/crh,
language,crp,Creoles and Pidgins (Other),http://id.loc.gov/vocabulary/languages/crp,
language,csb,Kashubian,http://id.loc.gov/vocabulary/languages/csb,
language,cus,Cushitic (Other),http://id.loc.gov/vocabulary/languages/cus,
language,cze,Czech,http://id.loc.gov/vocabulary/languages/cze,
language,dak,Dakota,http://id.loc.gov/vocabulary/languages/dak,
language,dan,Danish,http://id.loc.gov/vocabulary/languages/dan,da
language,dar,Dargwa,http://id.loc.gov/vocabulary/languages/dar,
language,day,Dayak,http://id.loc.gov/vocabulary/languages/day,
language,del,Delaware,http://id.loc.gov/vocabulary/languages/del,
language,den,Slavey,http://id.loc.gov/vocabulary/languages/den,
language,dgr,Dogrib,http://id.loc.gov/vocabulary/languages/dgr,
language,din,Dinka,http://id.loc.gov/vocabulary/languages/din,
language,div,Divehi,http://id.loc.gov/vocabulary/languages/div,dv
language,doi,Dogri,http://id.loc.gov/vocabulary/languages/doi,
language,dra,Dravidian (Other),http://id.loc.gov/vocabulary/languages/dra,
language,dsb,Lower Sorbian,http://id.loc.gov/vocabulary/languages/dsb,
language,dua,Duala,http://id.loc.gov/vocabulary/languages/dua,
language,dum,"Dutch, Middle (ca. 1050-1350)",http://id.loc.gov/vocabulary/languages/dum,
language,dut,Dutch,http://id.loc.gov/vocabulary/languages/dut,
language,dyu,Dyula,http://id.loc.gov/vocabulary/languages/dyu,
language,dzo,Dzongkha,http://id.loc.gov/vocabulary/languages/dzo,dz
language,efi,Efik,http://id.loc.gov/vocabulary/languages/efi,
language,egy,Egyptian,http://id.loc.gov/vocabulary/languages/egy,
language,eka,Ekajuk,http://id.loc.gov/vocabulary/languages/eka,
language,elx,Elamite,http://id.loc.gov/vocabulary/languages/elx,
language,eng,English,http://id.loc.gov/vocabulary/languages/eng,en
language,enm,"English, Middle (1100-1500)",http://id.loc.gov/vocabulary/languages/enm,
language,epo,Esperanto,http://id.loc.gov/vocabulary/languages/epo,eo
language,est,Estonian,http://id.loc.gov/vocabulary/languages/est,et
language,ewe,Ewe,http://id.loc.gov/vocabulary/languages/ewe,ee
language,ewo,Ewondo,http://id.loc.gov/vocabulary/languages/ewo,
language,fan,Fang,http://id.loc.gov/vocabulary/languages/fan,
language,fao,Faroese,http://id.loc.gov/vocabulary/languages/fao,fo
language,fat,Fanti,http://id.loc.gov/vocabulary/languages/fat,
language,fij,Fijian,http://id.loc.gov/vocabulary/languages/fij,fj
language,fil,Filipino,http://id.loc.gov/vocabulary/languages/fil,
language,fin,Finnish,http://id.loc.gov/vocabulary/languages/fin,fi
language,fiu,Finno-Ugrian (Other),http://id.loc.gov/vocabulary/languages/fiu,
language,fon,Fon,http://id.loc.gov/vocabulary/languages/fon,
language,fre,French,http://id.loc.gov/vocabulary/languages/fre,
language,frm,"French, Middle (ca. 1300-1600)",http://id.loc.gov/vocabulary/languages/frm,
language,fro,"French, Old (ca. 842-1300)",http://id.loc.gov/vocabulary/languages/fro,
language,frr,North Frisian,http://id.loc.gov/vocabulary/languages/frr,
language,frs,East Frisian,http://id.loc.gov/vocabulary/languages/frs,
language,fry,Frisian,http://id.loc.gov/vocabulary/languages/fry,fy
language,ful,Fula,http://id.loc.gov/vocabulary/languages/ful,ff
language,fur,Friulian,http://id.loc.gov/vocabulary/languages/fur,
language,gaa,Gã,http://id.loc.gov/vocabulary/languages/gaa,
language,gay,Gayo,http://id.loc.gov/vocabulary/languages/gay,
language,gba,Gbaya,http://id.loc.gov/vocabulary/languages/gba,
language,gem,Germanic (Other),http://id.loc.gov/vocabulary/languages/gem,
language,geo,Georgian,http://id.loc.gov/vocabulary/languages/geo,
language,ger,German,http://id.loc.gov/vocabulary/languages/ger,
language,gez,Ethiopic,http://id.loc.gov/vocabulary/languages/gez,
language,gil,Gilbertese,http://id.loc.gov/vocabulary/languages/gil,
language,gla,Scottish Gaelic,http://id.loc.gov/vocabulary/languages/gla,gd
language,gle,Irish,http://id.loc.gov/vocabulary/languages/gle,ga
language,glg,Galician,http://id.loc.gov/vocabulary/languages/glg,gl
language,glv,Manx,http://id.loc.gov/vocabulary/languages/glv,gv
language,gmh,"German, Middle High (ca. 1050-1500)",http://id.loc.gov/vocabulary/languages/gmh,
language,goh,"German, Old High (ca. 750-1050)",http://id.loc.gov/vocabulary/languages/goh,
language,gon,Gondi,http://id.loc.gov/vocabulary/languages/gon,
language,gor,Gorontalo,http://id.loc.gov/vocabulary/languages/gor,
language,got,Gothic,http://id.loc.gov/vocabulary/languages/got,
language,grb,Grebo,http://id.loc.gov/vocabulary/languages/grb,
language,grc,"Greek, Ancient (to 1453)",http://id.loc.gov/vocabulary/languages/grc,
language,gre,"Greek, Modern (1453-)",http://id.loc.gov/vocabulary/languages/gre,
language,grn,Guarani,http://id.loc.gov/vocabulary/languages/grn,gn
language,gsw,Swiss German,http://id.loc.gov/vocabulary/languages/gsw,
language,guj,Gujarati,http://id.loc.gov/vocabulary/languages/guj,gu
language,gwi,Gwich'in,http://id.loc.gov/vocabulary/languages/gwi,
language,hai,Haida,http://id.loc.gov/vocabulary/languages/hai,
language,hat,Haitian French Creole,http://id.loc.gov/vocabulary/languages/hat,ht
language,hau,Hausa,http://id.loc.gov/vocabulary/languages/hau,ha
language,haw,Hawaiian,http://id.loc.gov/vocabulary/languages/haw,
language,heb,Hebrew,http://id.loc.gov/vocabulary/languages/heb,he
language,her,Herero,http://id.loc.gov/vocabulary/languages/her,hz
language,hil,Hiligaynon,http://id.loc.gov/vocabulary/languages/hil,
language,him,Western Pahari languages,http://id.loc.gov/vocabulary/languages/him,
language,hin,Hindi,http://id.loc.gov/vocabulary/languages/hin,hi
language,hit,Hittite,http://id.loc.gov/vocabulary/languages/hit,
language,hmn,Hmong,http://id.loc.gov/vocabulary/languages/hmn,
language,hmo,Hiri Motu,http://id.loc.gov/vocabulary/languages/hmo,ho
language,hrv,Croatian,http://id.loc.gov/vocabulary/languages/hrv,hr
language,hsb,Upper Sorbian,http://id.loc.gov/vocabulary/languages/hsb,
language,hun,Hungarian,http://id.loc.gov/vocabulary/languages/hun,hu
language,hup,Hupa,http://id.loc.gov/vocabulary/languages/hup,
language,iba,Iban,http://id.loc.gov/vocabulary/languages/iba,
language,ibo,Igbo,http://id.loc.gov/vocabulary/languages/ibo,ig
language,ice,Icelandic,http://id.loc.gov/vocabulary/languages/ice,
language,ido,Ido,http://id.loc.gov/vocabulary/languages/ido,io
language,iii,Sichuan Yi,http://id.loc.gov/vocabulary/languages/iii,ii
language,ijo,Ijo,http://id.loc.gov/vocabulary/languages/ijo,
language,iku,Inuktitut,http://id.loc.gov/vocabulary/languages/iku,iu
language,ile,Interlingue,http://id.loc.gov/vocabulary/languages/ile,ie
language,ilo,Iloko,http://id.loc.gov/vocabulary/languages/ilo,
language,ina,Interlingua (International Auxiliary Language Association),http://id.loc.gov/vocabulary/languages/ina,ia
language,inc,Indic (Other),http://id.loc.gov/vocabulary/languages/inc,
language,ind,Indonesian,http://id.loc.gov/vocabulary/languages/ind,id
language,ine,Indo-European (Other),http://id.loc.gov/vocabulary/languages/ine,
language,inh,Ingush,http://id.loc.gov/vocabulary/languages/inh,
language,ipk,Inupiaq,http://id.loc.gov/vocabulary/languages/ipk,ik
language,ira,Iranian (Other),http://id.loc.gov/vocabulary/languages/ira,
language,iro,Iroquoian (Other),http://id.loc.gov/vocabulary/languages/iro,
language,ita,Italian,http://id.loc.gov/vocabulary/languages/ita,it
language,jav,Javanese,http://id.loc.gov/vocabulary/languages/jav,jv
language,jbo,Lojban (Artificial language),http://id.loc.gov/vocabulary/languages/jbo,
language,jpn,Japanese,http://id.loc.gov/vocabulary/languages/jpn,ja
language,jpr,Judeo-Persian,http://id.loc.gov/vocabulary/languages/jpr,
language,jrb,Judeo-Arabic,http://id.loc.gov/vocabulary/languages/jrb,
language,kaa,Kara-Kalpak,http://id.loc.gov/vocabulary/languages/kaa,
language,kab,Kabyle,http://id.loc.gov/vocabulary/languages/kab,
language,kac,Kachin,http://id.loc.gov/vocabulary/languages/kac,
language,kal,Kalâtdlisut,http://id.loc.gov/vocabulary/languages/kal,kl
language,kam,Kamba,http://id.loc.gov/vocabulary/languages/kam,
language,kan,Kannada,http://id.loc.gov/vocabulary/languages/kan,kn
language,kar,Karen languages,http://id.loc.gov/vocabulary/languages/kar,
language,kas,Kashmiri,http://id.loc.gov/vocabulary/languages/kas,ks
language,kau,Kanuri,http://id.loc.gov/vocabulary/languages/kau,kr
language,kaw,Kawi,http://id.loc.gov/vocabulary/languages/kaw,
language,kaz,Kazakh,http://id.loc.gov/vocabulary/languages/kaz,kk
language,kbd,Kabardian,http://id.loc.gov/vocabulary/languages/kbd,
language,kha,Khasi,http://id.loc.gov/vocabulary/languages/kha,
language,khi,Khoisan (Other),http://id.loc.gov/vocabulary/languages/khi,
language,khm,Khmer,http://id.loc.gov/vocabulary/languages/khm,km
language,kho,Khotanese,http://id.loc.gov/vocabulary/languages/kho,
language,kik,Kikuyu,http://id.loc.gov/vocabulary/languages/kik,ki
language,kin,Kinyarwanda,http://id.loc.gov/vocabulary/languages/kin,rw
language,kir,Kyrgyz,http://id.loc.gov/vocabulary/languages/kir,ky
language,kmb,Kimbundu,http://id.loc.gov/vocabulary/languages/kmb,
language,kok,Konkani,http://id.loc.gov/vocabulary/languages/kok,
language,kom,Komi,http://id.loc.gov/vocabulary/languages/kom,kv
language,kon,Kongo,http://id.loc.gov/vocabulary/languages/kon,kg
language,kor,Korean,http://id.loc.gov/vocabulary/languages/kor,ko
language,kos,Kosraean,http://id.loc.gov/vocabulary/languages/kos,
language,kpe,Kpelle,http://id.loc.gov/vocabulary/languages/kpe,
language,krc,Karachay-Balkar,http://id.loc.gov/vocabulary/languages/krc,
language,krl,Karelian,http://id.loc.gov/vocabulary/languages/krl,
language,kro,Kru (Other),http://id.loc.gov/vocabulary/languages/kro,
language,kru,Kurukh,http://id.loc.gov/vocabulary/languages/kru,
language,kua,Kuanyama,http://id.loc.gov/vocabulary/languages/kua,kj
language,kum,Kumyk,http://id.loc.gov/vocabulary/languages/kum,
language,kur,Kurdish,http://id.loc.gov/vocabulary/languages/kur,ku
language,kut,Kootenai,http://id.loc.gov/vocabulary/languages/kut,
language,lad,Ladino,http://id.loc.gov/vocabulary/languages/lad,
language,lah,Lahndā,http://id.loc.gov/vocabulary/languages/lah,
language,lam,Lamba (Zambia and Congo),http://id.loc.gov/vocabulary/languages/lam,
language,lao,Lao,http://id.loc.gov/vocabulary/languages/lao,lo
language,lat,Latin,http://id.loc.gov/vocabulary/languages/lat,la
language,lav,Latvian,http://id.loc.gov/vocabulary/languages/lav,lv
language,lez,Lezgian,http://id.loc.gov/vocabulary/languages/lez,
language,lim,Limburgish,http://id.loc.gov/vocabulary/languages/lim,li
language,lin,Lingala,http://id.loc.gov/vocabulary/languages/lin,ln
language,lit,Lithuanian,http://id.loc.gov/vocabulary/languages/lit,lt
language,lol,Mongo-Nkundu,http://id.loc.gov/vocabulary/languages/lol,
language,loz,Lozi,http://id.loc.gov/vocabulary/languages/loz,
language,ltz,Luxembourgish,http://id.loc.gov/vocabulary/languages/ltz,lb
language,lua,Luba-Lulua,http://id.loc.gov/vocabulary/languages/lua,
language,lub,Luba-Katanga,http://id.loc.gov/vocabulary/languages/lub,lu
language,lug,Ganda,http://id.loc.gov/vocabulary/languages/lug,lg
language,lui,Luiseño,http://id.loc.gov/vocabulary/languages/lui,
language,lun,Lunda,http://id.loc.gov/vocabulary/languages/lun,
language,luo,Luo (Kenya and Tanzania),http://id.loc.gov/vocabulary/languages/luo,
language,lus,Lushai,http://id.loc.gov/vocabulary/languages/lus,
language,mac,Macedonian,http://id.loc.gov/vocabulary/languages/mac,
language,mad,Madurese,http://id.loc.gov/vocabulary/languages/mad,
language,mag,Magahi,http://id.loc.gov/vocabulary/languages/mag,
language,mah,Marshallese,http://id.loc.gov/vocabulary/languages/mah,mh
language,mai,Maithili,http://id.loc.gov/vocabulary/languages/mai,
language,mak,Makasar,http://id.loc.gov/vocabulary/languages/mak,
language,mal,Malayalam,http://id.loc.gov/vocabulary/languages/mal,ml
language,man,Mandingo,http://id.loc.gov/vocabulary/languages/man,
language,mao,Maori,http://id.loc.gov/vocabulary/languages/mao,
language,map,Austronesian (Other),http://id.loc.gov/vocabulary/languages/map,
language,mar,Marathi,http://id.loc.gov/vocabulary/languages/mar,mr
language,mas,Maasai,http://id.loc.gov/vocabulary/languages/mas,
language,may,Malay,http://id.loc.gov/vocabulary/languages/may,
language,mdf,Moksha,http://id.loc.gov/vocabulary/languages/mdf,
language,mdr,Mandar,http://id.loc.gov/vocabulary/languages/mdr,
language,men,Mende,http://id.loc.gov/vocabulary/languages/men,
language,mga,"Irish, Middle (ca. 1100-1550)",http://id.loc.gov/vocabulary/languages/mga,
language,mic,Micmac,http://id.loc.gov/vocabulary/languages/mic,
language,min,Minangkabau,http://id.loc.gov/vocabulary/languages/min,
language,mis,Miscellaneous languages,http://id.loc.gov/vocabulary/languages/mis,
language,mkh,Mon-Khmer (Other),http://id.loc.gov/vocabulary/languages/mkh,
language,mlg,Malagasy,http://id.loc.gov/vocabulary/languages/mlg,mg
language,mlt,Maltese,http://id.loc.gov/vocabulary/languages/mlt,mt
language,mnc,Manchu,http://id.loc.gov/vocabulary/languages/mnc,
language,mni,Manipuri,http://id.loc.gov/vocabulary/languages/mni,
language,mno,Manobo languages,http://id.loc.gov/vocabulary/languages/mno,
language,moh,Mohawk,http://id.loc.gov/vocabulary/languages/moh,
language,mon,Mongolian,http://id.loc.gov/vocabulary/languages/mon,mn
language,mos,Mooré,http://id.loc.gov/vocabulary/languages/mos,
language,mul,Multiple languages,http://id.loc.gov/vocabulary/languages/mul,
language,mun,Munda (Other),http://id.loc.gov/vocabulary/languages/mun,
language,mus,Creek,http://id.loc.gov/vocabulary/languages/mus,
language,mwl,Mirandese,http://id.loc.gov/vocabulary/languages/mwl,
language,mwr,Marwari,http://id.loc.gov/vocabulary/languages/mwr,
language,myn,Mayan languages,http://id.loc.gov/vocabulary/languages/myn,
language,myv,Erzya,http://id.loc.gov/vocabulary/languages/myv,
language,nah,Nahuatl,http://id.loc.gov/vocabulary/languages/nah,
language,nai,North American Indian (Other),http://id.loc.gov/vocabulary/languages/nai,
language,nap,Neapolitan Italian,http://id.loc.gov/vocabulary/languages/nap,
language,nau,Nauru,http://id.loc.gov/vocabulary/languages/nau,na
language,nav,Navajo,http://id.loc.gov/vocabulary/languages/nav,nv
language,nbl,Ndebele (South Africa),http://id.loc.gov/vocabulary/languages/nbl,nr
language,nde,Ndebele (Zimbabwe),http://id.loc.gov/vocabulary/languages/nde,nd
language,ndo,Ndonga,http://id.loc.gov/vocabulary/languages/ndo,ng
language,nds,Low German,http://id.loc.gov/vocabulary/languages/nds,
language,nep,Nepali,http://id.loc.gov/vocabulary/languages/nep,ne
language,new,Newari,http://id.loc.gov/vocabulary/languages/new,
language,nia,Nias,http://id.loc.gov/vocabulary/languages/nia,
language,nic,Niger-Kordofanian (Other),http://id.loc.gov/vocabulary/languages/nic,
language,niu,Niuean,http://id.loc.gov/vocabulary/languages/niu,
language,nno,Norwegian (Nynorsk),http://id.loc.gov/vocabulary/languages/nno,nn
language,nob,Norwegian (Bokmål),http://id.loc.gov/vocabulary/languages/nob,nb
language,nog,Nogai,http://id.loc.gov/vocabulary/languages/nog,
language,non,Old Norse,http://id.loc.gov/vocabulary/languages/non,
language,nor,Norwegian,http://id.loc.gov/vocabulary/languages/nor,no
language,nqo,N'Ko,http://id.loc.gov/vocabulary/languages/nqo,
language,nso,Northern Sotho,http://id.loc.gov/vocabulary/languages/nso,
language,nub,Nubian languages,http://id.loc.gov/vocabulary/languages/nub,
language,nwc,"Newari, Old",http://id.loc.gov/vocabulary/languages/nwc,
language,nya,Nyanja,http://id.loc.gov/vocabulary/languages/nya,ny
language,nym,Nyamwezi,http://id.loc.gov/vocabulary/languages/nym,
language,nyn,Nyankole,http://id.loc.gov/vocabulary/languages/nyn,
language,nyo,Nyoro,http://id.loc.gov/vocabulary/languages/nyo,
language,nzi,Nzima,http://id.loc.gov/vocabulary/languages/nzi,
language,oci,Occitan (post-1500),http://id.loc.gov/vocabulary/languages/oci,oc
language,oji,Ojibwa,http://id.loc.gov/vocabulary/languages/oji,oj
language,ori,Oriya,http://id.loc.gov/vocabulary/languages/ori,or
language,orm,Oromo,http://id.loc.gov/vocabulary/languages/orm,om
language,osa,Osage,http://id.loc.gov/vocabulary/languages/osa,
language,oss,Ossetic,http://id.loc.gov/vocabulary/languages/oss,os
language,ota,"Turkish, Ottoman",http://id.loc.gov/vocabulary/languages/ota,
language,oto,Otomian languages,http://id.loc.gov/vocabulary/languages/oto,
language,paa,Papuan (Other),http://id.loc.gov/vocabulary/languages/paa,
language,pag,Pangasinan,http://id.loc.gov/vocabulary/languages/pag,
language,pal,Pahlavi,http://id.loc.gov/vocabulary/languages/pal,
language,pam,Pampanga,http://id.loc.gov/vocabulary/languages/pam,
language,pan,Panjabi,http://id.loc.gov/vocabulary/languages/pan,pa
language,pap,Papiamento,http://id.loc.gov/vocabulary/languages/pap,
language,pau,Palauan,http://id.loc.gov/vocabulary/languages/pau,
language,peo,Old Persian (ca. 600-400 B.C.),http://id.loc.gov/vocabulary/languages/peo,
language,per,Persian,http://id.loc.gov/vocabulary/languages/per,
language,phi,Philippine (Other),http://id.loc.gov/vocabulary/languages/phi,
language,phn,Phoenician,http://id.loc.gov/vocabulary/languages/phn,
language,pli,Pali,http://id.loc.gov/vocabulary/languages/pli,pi
language,pol,Polish,http://id.loc.gov/vocabulary/languages/pol,pl
language,pon,Pohnpeian,http://id.loc.gov/vocabulary/languages/pon,
language,por,Portuguese,http://id.loc.gov/vocabulary/languages/por,pt
language,pra,Prakrit languages,http://id.loc.gov/vocabulary/languages/pra,
language,pro,Provençal (to 1500),http://id.loc.gov/vocabulary/languages/pro,
language,pus,Pushto,http://id.loc.gov/vocabulary/languages/pus,ps
language,que,Quechua,http://id.loc.gov/vocabulary/languages/que,qu
language,raj,Rajasthani,http://id.loc.gov/vocabulary/languages/raj,
language,rap,Rapanui,http://id.loc.gov/vocabulary/languages/rap,
language,rar,Rarotongan,http://id.loc.gov/vocabulary/languages/rar,
language,roa,Romance (Other),http://id.loc.gov/vocabulary/languages/roa,
language,roh,Raeto-Romance,http://id.loc.gov/vocabulary/languages/roh,rm
language,rom,Romani,http://id.loc.gov/vocabulary/languages/rom,
language,rum,Romanian,http://id.loc.gov/vocabulary/languages/rum,
language,run,Rundi,http://id.loc.gov/vocabulary/languages/run,rn
language,rup,Aromanian,http://id.loc.gov/vocabulary/languages/rup,
language,rus,Russian,http://id.loc.gov/vocabulary/languages/rus,ru
language,sad,Sandawe,http://id.loc.gov/vocabulary/languages/sad,
language,sag,Sango (Ubangi Creole),http://id.loc.gov/vocabulary/languages/sag,sg
language,sah,Yakut,http://id.loc.gov/vocabulary/languages/sah,
language,sai,South American Indian (Other),http://id.loc.gov/vocabulary/languages/sai,
language,sal,Salishan languages,http://id.loc.gov/vocabulary/languages/sal,
language,sam,Samaritan Aramaic,http://id.loc.gov/vocabulary/languages/sam,
language,san,Sanskrit,http://id.loc.gov/vocabulary/languages/san,sa
language,sas,Sasak,http://id.loc.gov/vocabulary/languages/sas,
language,sat,Santali,http://id.loc.gov/vocabulary/languages/sat,
language,scn,Sicilian Italian,http://id.loc.gov/vocabulary/languages/scn,
language,sco,Scots,http://id.loc.gov/vocabulary/languages/sco,
language,sel,Selkup,http://id.loc.gov/vocabulary/languages/sel,
language,sem,Semitic (Other),http://id.loc.gov/vocabulary/languages/sem,
language,sga,"Irish, Old (to 1100)",http://id.loc.gov/vocabulary/languages/sga,
language,sgn,Sign languages,http://id.loc.gov/vocabulary/languages/sgn,
language,shn,Shan,http://id.loc.gov/vocabulary/languages/shn,
language,sid,Sidamo,http://id.loc.gov/vocabulary/languages/sid,
language,sin,Sinhalese,http://id.loc.gov/vocabulary/languages/sin,si
language,sio,Siouan (Other),http://id.loc.gov/vocabulary/languages/sio,
language,sit,Sino-Tibetan (Other),http://id.loc.gov/vocabulary/languages/sit,
language,sla,Slavic (Other),http://id.loc.gov/vocabulary/languages/sla,
language,slo,Slovak,http://id.loc.gov/vocabulary/languages/slo,
language,slv,Slovenian,http://id.loc.gov/vocabulary/languages/slv,sl
language,sma,Southern Sami,http://id.loc.gov/vocabulary/languages/sma,
language,sme,Northern Sami,http://id.loc.gov/vocabulary/languages/sme,se
language,smi,Sami,http://id.loc.gov/vocabulary/languages/smi,
language,smj,Lule Sami,http://id.loc.gov/vocabulary/languages/smj,
language,smn,Inari Sami,http://id.loc.gov/vocabulary/languages/smn,
language,smo,Samoan,http://id.loc.gov/vocabulary/languages/smo,sm
language,sms,Skolt Sami,http://id.loc.gov/vocabulary/languages/sms,
language,sna,Shona,http://id.loc.gov/vocabulary/languages/sna,sn
